SID,Test_date,Metrics,Temp_1,Temp_2,Temp_3,DO_1,DO_2,DO_3,sat_1,sat_2,sat_3
S68,8/30/2021,RMSE,0.0365,0.0309,0.0362,0.00707,0.00724,0.00773,0.0917,0.0772,0.0556
S68,8/30/2021,Mean,19.7,19.7,19.7,9.61,9.73,9.57,105,106,105
S68,8/30/2021,Range,0.151,0.117,0.151,0.096,0.124,0.195,0.963,1.31,2.02
S71,9/2/2021,lm_slope,0.00013,0.00013,0.00013,-3.40E-06,-5.90E-06,-5.10E-06,0.00024,0.00021,0.00023
S71,9/2/2021,R_square,0.99,0.99,0.99,0.48,0.69,0.64,0.97,0.95,0.95
S71,9/2/2021,RMSE,0.0304,0.0271,0.0282,0.00686,0.00768,0.00734,0.0893,0.096,0.0975
S71,9/2/2021,Mean,10.6,10.6,10.6,10,10.1,10.2,90.2,90.8,91.3
S71,9/2/2021,Range,0.906,0.887,0.879,0.051,0.072,0.06,1.7,1.5,1.54
S72,9/3/2021,lm_slope,7.90E-05,7.60E-05,7.30E-05,-8.80E-06,-9.40E-06,-8.30E-06,7.00E-05,5.90E-05,6.50E-05
S72,9/3/2021,R_square,0.97,0.97,0.96,0.89,0.89,0.89,0.85,0.74,0.79
S72,9/3/2021,RMSE,0.0286,0.0275,0.0282,0.00599,0.00627,0.00549,0.0566,0.0682,0.0645
S72,9/3/2021,Mean,14.1,14.1,14.1,9.22,9.3,9.36,89.7,90.5,91.1
S72,9/3/2021,Range,0.573,0.528,0.529,0.073,0.077,0.074,0.584,0.582,0.618
S73,9/2/2021,lm_slope,0.00014,0.00011,1.00E-04,-6.80E-06,-1.20E-05,-1.10E-05,0.00021,9.20E-05,9.10E-05
S73,9/2/2021,R_square,0.99,0.99,0.99,0.71,0.89,0.93,0.97,0.8,0.85
S73,9/2/2021,RMSE,0.0317,0.0193,0.0168,0.00842,0.00803,0.00634,0.0724,0.0912,0.0754
S73,9/2/2021,Mean,16.8,16.8,16.8,9.3,9.36,9.44,95.8,96.4,97.1
S73,9/2/2021,Range,0.892,0.671,0.687,0.071,0.09,0.083,1.51,0.762,0.77
S75,9/3/2021,lm_slope,0.00012,0.00013,0.00013,-9.00E-06,-7.60E-06,-1.10E-05,0.00012,0.00015,0.00012
S75,9/3/2021,R_square,0.98,0.99,0.99,0.87,0.85,0.93,0.91,0.96,0.94
S75,9/3/2021,RMSE,0.0352,0.0294,0.0273,0.00669,0.0063,0.00568,0.0745,0.0594,0.0605
S75,9/3/2021,Mean,16,16,16,8.51,8.57,8.64,86.2,86.8,87.5
S75,9/3/2021,Range,0.759,0.81,0.82,0.069,0.065,0.087,0.896,1,0.85
S77,9/2/2021,lm_slope,8.80E-05,8.90E-05,8.90E-05,-4.00E-05,-1.70E-05,-1.20E-05,-0.00021,2.60E-05,8.00E-05
S77,9/2/2021,R_square,0.99,0.99,0.99,0.96,0.94,0.92,0.84,0.35,0.91
S77,9/2/2021,RMSE,0.0179,0.0176,0.0132,0.0155,0.00844,0.00644,0.172,0.0676,0.0494
S77,9/2/2021,Mean,14.6,14.7,14.6,10,10.3,10.2,98.7,101,101
S77,9/2/2021,Range,0.586,0.595,0.578,0.315,0.13,0.092,1.88,0.426,0.68
S79,9/3/2021,lm_slope,6.00E-05,5.80E-05,5.10E-05,-7.60E-06,-8.40E-06,-7.10E-06,3.60E-05,2.50E-05,2.40E-05
S79,9/3/2021,R_square,0.96,0.95,0.91,0.79,0.81,0.8,0.63,0.38,0.4
S79,9/3/2021,RMSE,0.0228,0.025,0.0303,0.00745,0.00793,0.00671,0.0523,0.0622,0.0569
S79,9/3/2021,Mean,16,16,16,8.82,8.9,8.83,89.4,90.3,89.5
S79,9/3/2021,Range,0.401,0.401,0.35,0.059,0.064,0.06,0.492,0.388,0.322
S82,9/3/2021,lm_slope,0.00016,0.00016,0.00015,-6.20E-06,-1.50E-05,-1.80E-05,0.00028,0.00019,0.00014
S82,9/3/2021,R_square,0.95,0.94,0.94,0.63,0.9,0.86,0.93,0.86,0.76
S82,9/3/2021,RMSE,0.0745,0.0767,0.0755,0.00909,0.00906,0.0136,0.149,0.148,0.152
S82,9/3/2021,Mean,15.4,15.4,15.4,9.66,9.6,9.73,96.7,96,97.2
S82,9/3/2021,Range,0.926,0.917,1,0.064,0.12,0.177,1.68,1.29,1.05
S83,9/3/2021,lm_slope,3.90E-05,4.40E-05,4.10E-05,5.30E-06,5.70E-06,6.50E-06,1.00E-04,0.00011,0.00011
S83,9/3/2021,R_square,0.73,0.76,0.75,0.87,0.9,0.9,0.86,0.88,0.89
S83,9/3/2021,RMSE,0.0458,0.0486,0.0454,0.00405,0.00377,0.00406,0.0798,0.079,0.0786
S83,9/3/2021,Mean,13,13,13,5.93,5.76,5.95,56.2,54.6,56.5
S83,9/3/2021,Range,0.317,0.343,0.334,0.047,0.045,0.058,0.777,0.782,0.894
T02,9/7/2021,lm_slope,8.30E-05,7.60E-05,7.90E-05,-2.30E-05,-2.70E-05,-2.40E-05,-0.00011,-0.00016,-0.00011
T02,9/7/2021,R_square,0.99,0.96,0.99,0.99,0.99,0.98,0.94,0.97,0.95
T02,9/7/2021,RMSE,0.0113,0.0295,0.0109,0.005,0.00643,0.00564,0.0498,0.0536,0.0507
T02,9/7/2021,Mean,20.3,20.3,20.3,8.37,8.47,8.55,92.7,93.7,94.6
T02,9/7/2021,Range,0.569,0.511,0.56,0.161,0.183,0.165,0.864,1.12,0.838
T03,9/8/2021,lm_slope,5.60E-05,4.30E-05,5.20E-05,-1.40E-05,-1.30E-05,-1.50E-05,-4.50E-05,-5.10E-05,-5.50E-05
T03,9/8/2021,R_square,0.96,0.91,0.96,0.97,0.93,0.97,0.63,0.67,0.8
T03,9/8/2021,RMSE,0.0227,0.0257,0.0209,0.00515,0.00666,0.00537,0.0661,0.0697,0.0529
T03,9/8/2021,Mean,17,17,17.1,8.79,8.87,8.96,91,91.7,92.8
